a 	in.ar 	ሓዶ	አንድ
both 	adj, pron	ክልቲኦም	ሁለቱም	
bottom 	n	ታሕቲ	መነሾ፣ ሥረነገር	
bough 	n	ጨንፈር	ቅርንጫፍ	
bound 	adj	ኽይዱ	ሄደ	
boundary 	n	ደዶብ	ወሰን፣ ድንበር	
bow down 	v	ሰጊዱ	ሰገደ	
bowel 	n	መዓንጣ	አንጀት	
boxer 	n	ተጓሳጣይ	ቡጢኛ	
boxing 	n	ዐወታ ጉስጢ	የቡጢ ጨዋታ	
boy 	n	ወዲ	ወንድ ልጅ	
boy friend 	n	ዓርኪ፣ ኣፍቃሪ	የከንፈር ወዳጅ	
boy hood 	n	ቑል ፅነት 	ልጅነት	
bracelet 	n	በናጅር፣ ካቲም	አምባር	
brain 	n	ሓንጎል	አንጎል	
brake 	n	ልጓም መኪና፣ ፍሬኖ	ፍሬን	
branch 	n	ጨንፈር	ቅርንጫፍ	
brass 	n	ኣስራዚ፣ ነሓስ	ነሀስ	
brave 	adj	ጅግና፣ ሓየት	ጀግና	
brawl 	n	ባእሲ	ጥል	
bread 	n	ሕበብስቲ፣ ባኒ	ዳቦ	
breadth 	n	ስፍሓት	ስፋት	
break 	n	ምስባር	መስበር	
break  down	v	ሰቢሩ፣ ሰይሩ	ሰበረ	
break fast 	n	ቁርሲ 	ቅርስ	
breast 	n	ጡብ፣ ልቢ	ጡት፣ ደረት	
breath 	n	ምስትንፋስ(አየር) ምትንፋስ	ትንፋሽ	
breed 	n	ዘረርዒ	ዘር	
breeze 	n	ዝሁል ንፋስ	ለስላሳ ነፋስ	
brethren	n	ኣሕዋት	ወንድሞች	
brew 	vt	ጠንሲሱ፣ ዐሚቁ	ጠነሰሰ፣ ጠመቀ	
bribe 	n	ጉቦ	ጉቦ	
brick 	n	ሕጡብ ማቶኒ	ጡብ	
bride 	n	መርዓት	ሙሽሪት	
bride groom 	n	መርዓዊ	ሙሽራ	
bridesmaid 	n	ኣዳኖ ወይ መሓዛ መርዓት	ደንገጡር	
bridge 	n	ቢንቶ	ድልድይ	
bridle 	n	ልጓም	ልጓም	
brief case 	n	ሳንጣ	ቦርሰ	
brigand 	n	ሰራቒ፣ ከታሪ	ቀማኛ	
bright 	adj	ብሩሕ	ብሩህ	
brighten 	vi	ዝደመቐ	ድምቀት	
brim 	n	ኽንፈር፣ አፍ	ክፈፍ፣ አፍ	
bring 	vt	ኣምፂኡ	አመጣ	
bring back 	vt	መሊሱ	መለሰ	
bring up 	vt	ኣልዓለ፣ ኣዕበየ	አነሳ፣ አሳደገ	
brittle 	adj	ብቀሊል ዝስበር	በቀላሉ የሚሰበር	
broad 	adj	ገፊሕ	ሰፊ	
broacade 	n	ጥልፊ	የረቀቀ ጉንጉን	
brochure 	n	ንእሸቶይ ጥሩዝ ፅሑፍ	አነስተኛ ጽሁፍ	
bronze 	n	ነሐሲ	ነሐስ	
bronze 	n	ጫቁት	ጫጩት	
brook 	n	ፈለግ	ጅረት	
broom 	n	መፅረጊ፣ ኣስኮባ	መጠጥረጊያ	
brother 	n	ሓው	ወንድም	
brother in law 	n	ዘማ	ዋርሳ	
brow 	n	ግምባር	ግንባር	
brutality 	n	ጫካነ	ጫካኔ	
bubble 	n	ዓፍራ 	አረፋ	
buckle to 	vi	ተታሒዙ	ተያያዘ	
buddy 	n	ቀረባ ዓርኪ	የቅርብ ጓደኛ	
budget 	n	ስልፆ ባጀት መንግስቲንስራሕ ዘውዕሎ ገንዘብ ብዕራ በረኻ	ጎሽ	
bug 	n	ትኋንንትኋን ዝመሰሉን	ትኋን ትል	
build 	vt	ምህናፅ፣ ምንዳቐ	አቋቋመ ፣ መሠረት	
builder 	n	ሃናፃይ፣ ነዳቓይ	ገንቢ	
bulge 	vi	ተወጢሩ	ተወጠረ	
bull 	n	ብዕራይ፣ ዝራብዕ	ኮርማ	
bullet 	n	ጥይት 	ጥይት	
bull headed 	adj	ግትር ሓሳብ	ሀሳብ ግትር	
bulwark 	n	ሓፅቢ	ግድብ	
bun 	n	ባኒ ንእሽቶይ	ክብ ኬክ	
bunch 	n	ጨጭብጥ	ጭብጥ፣ ዘለላ	
bundle 	v	አሲሩ	አሰረ	
bundle 	n	ጥቐልል፣ እሳር	ጥልቅ	
bung 	n	ኽዳን	ውታፍ	
bungallow 	n	ንእሽታይ ገዛ	አነሰስተኛ ቤት	
buoyant 	adj	ተንሳፋፊ	ተንሳፋፊ	
burden 	v	ኣሸጊሩ	አስቸገረ፣ ጫነ	
burden 	n	ሸኽሚ፣ ፆር	ሸክም	
bureau 	n	ቢሮ	ቢሮ	
burglar 	n	ሰራቒ፣ ጉሒላ	ሌባ፣ሰርሳሪ 	
burly 	adj	ረፉዊድ	ጠብደል	
burn 	vi	ምንዳድ፣ ምቅፃል 	በራ፣ነደደ	
burn down 	vt	አቃፂሉ 	አቃጠለ	
burn fingers 	v	ተሳሓሒቱ 	ተሳሳተ	
burned out 	v	ጠፊኡ	ጠፋ	
burn up 	v	ተቐፂሉ 	ተቃጠለ	
burn 	v	ባርዕ	ቃጠሎ	
burp 	n	ኣጉሲዑ	አገሣ	
burrow 	v	ኹዒቱ	ቆፈረ	
burrow in 	v	በርቢሩ፣ ደልዩ	በረበረ፣ ፈለገ	
burrow 	n	ጉድጓድ፣ ጉሁም	ጉድጓድ	
burst 	vi	ፈንዲዑ፣ ፈንጂሩ	ፈነዳ	
burst forth 	vi	ገንፊሉ	ገነፈለ	
bus 	n	አውቶቡስ	አውቶቡስ	
bus station 	n	ማዓርፎ ኣውቶቡስ	መኪና ተራ	
bush 	n	ቁጥቋጥ፣ ሓፂር ኦም	ቁጥቋጦ	
business 	n	ፅ ንግዲ	የንግድ ሥራ	
business man 	n	ኣብ እተፈላለየ ንግዲ ፅዮ እተዋፈረ 	ነጋዴ	
busy 	adj	ዐዓያይ ህርኩት	ሥራ የሚበዛበት	
but 	adj	እንተኾነ ግና፣ ግና	ገና፣ብቻ	
butcher 	n	ሓራድ ከብቲ	ሉካንዳ ነጋዴ	
butter 	n	ተስሚ	ቅቤ	
butter fly 	n	ፅምብላሊዕ	ቢራቢሮ	
buttock 	n	ማዓኮር፣ መቐመጫ	ቂጥ	
button 	n	መልጎም	ቀቁልፍ፣ አዝራር	
buy 	n	ምፅዳግ፣ ምግዛእ	ግዢ	
by 	prep	ብጥቓ፣ብ	በ - ዳር በ- መሠረት	
by way 	n	ፀቢብ መገዲ	ጠባብ መንገድ	
cab 	n	ታክሲ	ተከሲ	
cabinet 	n	ከብሒንእሽቶይ ብዕንዐይቲ ዌ ብሓጺን ዝተሰረሐ	መደርደሪያ ሳጥን	
cabinet 	n	ቤት ምኽሪ ሚኒስተራት	የሚኒስትሮች ምክር ቤት	
cable 	n	ከኬይብል (ረጉድ ሰልኪ)	የብረት ገመድ	
caf'e 	n	ቤት ቡን፣ ቤት ብልዒ	ቁርስ ቤት	
cafeteria	n	ቤት ብልዒ፣ ባዕልኻ እተተኣናግደሉ	ራስን የሚያስተናግዳብት ቡና ቤት	
calculate 	v	ምሕሳብ፣ ምፅብፃብ ቁፅሪ 	አሰላ	
calculation 	n	ሒሳብ፣ ቁፅሪ ምስላሕ	ሒሳብ ማስላት	
calculator 	n	መፀብፃቢት መኪና	የሒሳብ መሳሪይ	
calendar 	n	ኣውደ ኣዋርህ	የቀን መቁጠሪያ	
call 	n	ምፅዋፅ፣ ፃዊዒት	ጥሪ	
call out 	v	ኣዚዙ	አዘዘ	
calm 	n	ፀጥታ፣ ስላሕታ	ፀጥታ	
calumny 	n	ሓሜት	ሐሜት	
camel 	n	ጊመል	ግመል (ሁለት ሻኛ ያለው)	
camp  	n	ቀፅሪ ቤት ትምህርቲ	ቅጥር ግቡ	
can 	n	ታኒካ ወደ ዝተሓትመ መሰተ ወይ ምግቢ	ቆርቆሮ፣ የታሸገ ምግብ ወይም መጠጥ 	
cancel 	v	ምስራዝ፣ ምድምሳስ	መሰረዝ፣ ማጥፋት	
cancer 	n	መንሸሮ፣ መንቀርሳ	ነቀርሳ	
candle 	n	ሽምዓ	ሻማ	
candy 	n	ከረመላ	ከረሜላ	
canker 	n	ቁስሊ ኣፍ	የአፍ ቁስል	
canned 	n	ሕቱም ምግቢ ታኒካ	የተታሸገ ምግብ	
cannon 	n	መድፍዕ	መድፍ	
canoe 	n	ታንኳ	ታንኳ	
cap 	n	ቆብዕ ሰበይቲ ወይ ህፃን 	ቆብ 	
cap 	v	ኽዲኑ፣ ሸፈኑ	ከደነ፣ ሸፈነ	
capital city 	n	ርእሲ ከተማ	ዋና ከተማ	
canvas 	n	ሸራ (ጫማ)	ሸራ ጫማ	
capacity 	n	ሓደ ነገር ክሕዘ ዝኽል ዓቅን ወይም መጠን፣ ክእለት	መጠን፣ ችሎታ	
capital 	adj	ዐዓብይ፣ አውራ	አብይ፣ ዋና	
make capital		ተጠቒሙ	ተጠቀመ	
capitulation 	n	ኢድ መሃብ	እጅ መስጠት	
capisize 	v	ተገልቢጡ፣ ጥሒሉ	ተገላበጠ	
captivate 	v	ማሪኹ	ማረከ	
captive	n	ምርኾኛ	ምርኮኛ	
car 	n	መኪና	መኪና 	
car wash 	n	መኪና እትሕዐበሉ ቦታ	የመኪና ማጠቢየ ቦታ	
carbon paper 	n	ቀለም ዝተቐአ ወረቀት 	ካርቦን	
card board 	n	ካርቶን፣ ተሪር ወረቐት 	ካርቶን	
care 	n	ምግዳስ፣ ምሕላይ	መጠንቀቅ	
career 	n	ነባሪ ስራሕ ዘውህብ ትምርቲ ወይ ጥበብ 	የስራ መስክ	
cargo 	n	ጽዕነት መርከብ	የመርከብ ጭነት	
carpet 	n	ምንፃር 	ምንጣፍ	
carton 	n	በብወረቐትእተሰርሐ ኣቕሓ	ከወረቀት የተሰራ ዕቃ	
cartoom 	n	ዘይተለምዶ መልክዕ ለዎ ስእሊ	አስቂኝ ስዕል	
cash 	n	ኣብ ኢድ ዘሎ ገንዘብ	ጥሬ ገንዘብ	
case 	n	ሰሳንጣ፣ ሳንዱቅ 	ትልቅ ሳጥን	
cause 	n	ምኽንያት	ምክንያት	
cat 	n	ድሙ	ድመት	
catch 	n	ምቑላብ፣ ምሓዝ	መያዝ	
caterpillar 	n	ኣባ ቸጎራ ዝመስል	አባ ጨጎሬ	
cattle 	n	ከብቲ	የቀንድ ከብት	
celerbrate 	v	በዓል ምብዓል	አከበረ (ልደት ወይም በዓል)	
celebration 	n	ክብረበዓል	ክብረበአል	
ceiling 	n	ሰንቀ	ኮርኒስ	
cement 	n	ስሚንቶ	ሲሚንቶ	
censure 	n	ኹራ፣ ማዕድ	ተግሳጽ	
cent 	n	ሳንቲም 	ሳንቲም	
center 	n	ማእኸል	መሀከል	
certain 	adj	ኡነት፣ ትግፅ 	እርግተኛ የሆነ	
certificate 	n	ምስክር ወረቐት	የምስክር ወረቀት	
chalk 	n	ኩሩሽ	ጠመኔ	
chameleon 	n	ነፋሒቶ	እስስት	
champion 	n	ውድድር አሸናፊ	የውድድሩ አሸናፊ	
chain	n	ሳንሰለት፣ ሸንሸል	ሠንሠለት	
chair 	n	መምበር፣ ወምበር	ወንበር	
chair man 	n	አቦ ወንበር	ሊቀመንበር	
chance 	n	ዕድል፣ አጋጣሚ	ዕድል፣ አጋጣሚ	
change 	n	ምቐያር፣ ምልዋጥ	መቀየር፣ መለወጥ	
characterize 	vt	ገሚቱ፣ አረዳኡ	ገመተ፣ አስረዳ	
chauffeur 	n	መራሕ መኪና	መኪና ነጂ	
charcoal 	n	ፍሓም፣ ኸሰል	ከሰል	
chase 	n	ተጓይዩ	ተሯሯጠ	
chat 	v	ምውራይ	ማውራት	
cheap 	adj	ሕሱር፣ ርካሽ	ርካሽ	
cheat 	v	ምትላል	ማታለል	
checkers 	n	ዳማ	ዳማ(ማጫወቻ)	
cheek 	n	ምዕጉርቲ	ጉንጭ	
chest 	n	ኣፍ ልቢ፣ ደረት	ደረት	
chew 	v	ሓይኹ	አኘከ	
chicken 	n	ደርሆ፣ ጫቁት	ጫጩት	
chickpea 	n	ዓተር ቀይሕ	ሽምብራ	
chief 	n	ሓለቓ	ወዋና፣ አለቃ	
child 	n	ቁልዓ ወዲ ወይ ጓል	ልጅ	
children 	n	ህፃናት፣ ቆላዑ	ህጻናት	
child care 	n	መውዓሊ ህፃናት	ሙአለህጻናት	
chill 	n	ቁሪ፣ ጉንፋዕ 	በብርድ፣ ጉንፋን	
chillies 	n	ምሕያኽ	ሚጥሚጣ	
chin 	n	መንከስ	አገጭ	
chip 	n	ድንሽ ጥብሲ	የድንች ጥብስ	
chocolate 	n	ቾኮላታ	ቸኮላታ	
cholera 	n	ሕማም ሽሮኽ	የተቅማጥ በሽታ (ኮሌራ)	
christianity 	V	ክርስትና	ክርስትና	
christmas 	n	በዓል ልደት	ልደት፣ ገና	
christmas tree 	n	ፅሕዲ	የገና ዛፍ (ጥድ)	
chug 	n	ድምፂ	ድምፅ	
chunk 	n	ቁራፅ	ቁራጭ	
church 	n	ቤተክርስቲያን	ቤተክርስቲያን	
churn	n	ምሕቋን	መናጥ	
cinder 	n	ሓመድ	አመድ	
cinema 	n	ቺናማ ፊልም ዌ ትያትር ዝረአየሉ ቦታ 	ሲኒማ ወይም ትያትር የሚታይበት	
circle	n	ዐዓንኬል፣ ቀለቤት	ክብ፣ ክበብ	
circumcise 	n	ምግራዝ	መግረዝ	
circumspect 	adj	ጥንቑቕ	ጥንቁቅ	
circumstantiate 	vt	አረጋጊዑ	አረጋገጠ	
citadel 	n	በዓቲ	ምሽግ	
citizen 	n	ዜጋ	ዜጋ	
 city 	n	ዓብይ ከተማ	ከተማ	
civilize 	vt	አሰልጢኑ	አሠለጠነ	
civil servant 	n	ሰራሕተኛ፣ አገልጋሊ	የመንግሰት ሠራተኛ	
clad 	vi	ተኸዲኑ	ለበሰ	
claim	n	መሰል፣ ሕቶ	መብት፣ ጥያቄ	
clamor for 	v	ተነጫኒጩ	ተነጫነጨ	
clarify 	vt	አብራህሪሁ	አብራራ	
clasp 	v	ሓቁፉ፣ ሒዙ	አቀፈ፣ ያዘ	
clasp 	n	መተሓዚ	መያዣ	
class 	n	ክፍሊ	ክፍል	
hold class		አስተምሂሩ፣ አምሂሩ 	አስተማረ	
class room 	n	መምሃሪ ኽፍሊ	መማሪያ ክፍል	
caltter 	vt	አንኳሕኹሑ	እንኳኳ	
claw 	n	ፅፍሪ፣ ጭፍሪ 	ጥፍር	
clean 	adj	ፅሩይ	ንፁህ	
clean up 	v	ኣፅሪ፣ አስተኻኺሉ	አጸዳ፣ አስተካከለ	
clenliness 	n	ፅርየት	ንጽህና	
cleanse 	vt	ተሓፂቡ	ታጠበ	
clear 	adj	ፅቡቕ	ጥሩ ግልጽ	
clear 	adv	ትኽክል	ትክክል	
make clear		ገሊፁ	ገለፀ	
cleave 	vi	ፈሊፁ፣ ሰንጢቑ	ፈለጠ፣ ሰነጠቀ	
clench	v	ጨቢጡ፣ ነኺሱ	ጨበተ፣ ነከሰ	
clerk 	n	ፀሓፊ	ፀሐፊ	
client 	n	ዐዓሚል	ደንበኛ	
cliftt 	n	ፀድፊ፣ ገደል	ገደል	
climate 	n	ከኩነታት ፣ነባሪ አየር	የአየር ንብረት	
climb 	vt	ወፂኡ፣ ደይቡ 	ወጣ	
climb 	vi	ምሕኳር፣ ምድያብ	ተጓዘ	
climb over		ዘሊሉ	ዘለለ	
cling 	v	ኣጥቢቑ ሒዙ	አጥብቆ ያዘ	
cloak 	v	ሸፈኑ፣ ኽዲኑ 	ሸፈነ	
cloak 	n	ሰዓት ኣብ መንደቕ ዌ አብ ጠረጴዛ ዝኽውን 	የጠረጴዛ ሰአት 	
clog 	v	ደፊኑ፣ መሊኡ	ደፈነ፣ ሞላ	
cloth 	n	አይተሰፍየ ጨርቂ	ጨርቅ	
clothes 	n	ኽዳን	ልብስ	
cloud 	n	ደበና	ደመና	
clove 	n	ቅንፍር	ቅርንፉድ	
club 	v	ወቒዑ	መታ	
club 	n	ቤት ወግዒ	ክበብ	
clutch 	n	ፈፍሪሲዮን	ፈፍሬሲን	
coach 	n	ኣስልጣኒ	አሰልጣን	
coal 	n	ፍሓም፣ እምኒ ኽሰል	ከሰል፣ የድንጋይ ከሰል	
cosat 	n	ወሰን ባሕሪ	የባህር ዳርቻ	
coat	n	ጁባ (ዝኽደን)	ኮት፣ ጁባ	
cobra 	n	ኣፉዑት፣ ተመን	ዕፍኝ ዓይነት መርዛም እባብ	
cock 	n	አንዳፍ፣ ኩኩናይ	አውራ ዶሮ	
cockroach 	n	ዱዱዕ	በረሮ	
coffee 	n	ቡን	ቡና	
coffee bean 	n	ጥረ ቡን	ድፍን ቡና	
coffee pot 	n	ጀበና	ጀበና	
coffin 	n	ናይ ሬሳ ሳዑን፣ ሬሳ 	የሬሳ ሳጥን ፣ሬሳ	
coil 	vt	ጠምጢሙ	ጠመጠመ	
cold 	n	ዝሑል	ቅዝቃዜ	
common cold 	n	ጉንፋዕ፣ ሳዓል	ጉንፋን	
colic 	n	ሕማም መዓንጣ	የአንጀት ሕመም	
collaborate 	v	ተሓባቢሩ	አበረ	
collar 	n	ናይ ክዳን ኳሌታ	ኮሌታ	
collegue 	n	መሰሳርሕተይ፣ ዓርከይ	የሥራ ጓደኛ	
collect 	vt	ምእካብ	ሰበሰበ፣ ወሰደ	
college 	n	ላዕለዋይ ብርኪ ቤት ትምህርቲ	ኮሌጅ	
colon 	n	ዓብይ መዓንጣ	ትልቅ አንጀት	
colour 	n	ሕብር	ቀለም	
colossal 	adj	ኣዚዮ ገዚፍ	በጣም ትልቅ	
colt 	n	ዒሊ ናይፈረስ ወይ ናይ ኣድጊ ውላድ	የፈረስ ወይም የአህያ ውርንጫላ	
column 	n	ዓንዲ ጋዜጣ ወይ ወይ መጽሓፍ	አመምድ	
comb	n	መዘርገፍ፣ መሰንተር 	ማበጠሪያ፣ ሚዶ	
combat 	v	ውግዕ	ውጊያ	
combine 	v	ሓዋዊሱ	ቀላቀለ	
combustible 	adj	ነዳዲ	ነዳጅ	
come 	vi	ምምፃአ	መጣ፣ ደረሰ	
come  across		ረኺቡ፣ ኣግኒዩ	አገኘ	
come apart		ተፈላሊ	ተለያየ	
comfort 	n	ጣዕሚ፣ ምጮት	ምቾት፣ መፅናኛ	
commander 	n	ኣዛዚ	አዛዥ	
commence 	v	ጀሚሩ	ጀመረ	
comment 	v	ርእይቶ ማሃብ	አሰስተያየት መስጠት	
commerce 	n	ንግዲ	ንግድ	
commerical 	adj	ናይ ንግዲ	ነንግድ	
commission 	n	ውዕለት ፃማ ፅዩ	ካሣ	
commit one selvf 	vt	ቃል አቲዩ	ቃል ገባ	
common 	adj	ነናይ ሓባር ፣ልሙድ	የተለመደ፣ ተራ	
common place 	adj	ዝለተምዶ ቦታ	የተለመደ ቦታ	
communicable 	adj	ተሓላላፊ	ተላላፊ	
communique 	n	መግለጺ	መግለጫ	
community 	n	ማሕበረሰብ	ማህበረሰብ	
communte 	vt	ቀኒሱ	ቀነሰ፣ አሻሻለ	
companion 	n	ዓርኪ፣ ማሓዛ	ጓገኛ	
companionahip 	n	ብሓደ ምኻን	አብሮ መሆን	
company 	n	ከኩባንያ፣ ትካል	ኩባንያ፣ ጓድ	
compare 	vt	አነፃፂሩ፣ ኣመሳሲሉ	አነፃፀረ፣ አመሳሰለ	
compartment 	n	ክፍሊ	ክፍል፣ ሥፍራ	
compile 	n	አዳሊ፣ መዝጊቡ	አዘጋጀ፣ መዘገበ	
complaint 	n	ኽስ፣ ቕረታ	ክስ፣ ቅሬታ	
complete 	adj	ፍፁም፣ ምሉእ	ፍፁም፣ ሙሉ	
complex 	adj	እተሓላለኽ	የተወሳሰበ	
compliment 	v	ኣመስጊኑ	አመሰገነ	
compliment 	n	ምስግና	ምሥጋና	
comply 	v	እሺ ይሉ	እሺ አለ	
composer 	n	ደራሲ ደርፊ	የሙዚቃ ደራሲ	
comrade 	n	መሓዛ	ጓደኛ፣ ጓድ	
conceal 	v	ሓቢኡ	ደበቀ፣ ሸሸገ	
concede 	v	ሂቡ፣ ኣሚኑ	ሰጠ፣ አመነ	
conceited 	adj	ትዕቢተማ፣ ዕቡይ	ትዕቢተኛ	
concept 	n	ሓሳብ	ሀሳብ 	
concerted 	adj	ተሓባቢሩ	የተባበረ	
conciliation 	n	ዐዕርቂ	ዕርቅ	
conciliator 	n	ዓራቒ	አስታራቂ	
conciliatory 	adj	ኣታዓራቒ	አስታራቂ	
concur 	vi	ተሰማዕሚዑ፣ ተጋጢሙ	ተስማማ፣ ተጋጠመ	
concurrence 	n	ምግናይ፣ ምግጥጣም	መገናኘት	
concurrently	adj	በሓደ ግዘ	ባንድ ጊዜ	
condemn 	v	ነቒፉ	አቀፈ	
condense 	v	ኣሕፂሩ	አሳጠረ	
condition 	n	ከጎታት	ሁኔታ	
conducive 	v	ረዲኡ፣ አመቺዩ	ረዳ፣ አመቸ	
conduct 	n	ፀባይ	ጠባይ	
confederate 	v	ተሓባቢሩ	ተባበረ	
conference 	n	ጉባኤ፣ ዋዕላ፣ አኼባ	ስብሰባ	
confess 	vt	ኣሚኑ፣ ገሊፁ	አመኑ፣ ገለፅ	
confession 	n	ንስሃ	ምስሐ	
conifident 	n	ምስጢረኛ፣ ብዓል ምስጢር	ምስጢረኛ	
confirmed 	adj	ቆሪፁ፣ ወሲኑ	የቆረጠ	
confiscate 	v	ወሪሱ	ወረሰ	
conflagration 	n	ሓዊ ባርፅ	የእሳት ቃጠሎ	
confluence 	n	ምግናይ፣ ምድማር	መገናኛ	
conform 	vi	ተስማዕሚዑ	ተሰማማ	
confounded 	adj	ተደኒቒ	ተደነቀ	
congeal	v	ረጊኡ	ረጋ	
congest 	vt	አጊዱ	አገደ	
congregate 	v	ተኣኪቡ	ተሰበሰበ	
conjugal 	adj 	ምትእታው፣ ምምርዓው	የጋብቻ	
connection 	n	ርክብ	ግንኑነት	
connivance 	n	ምስምማፅ	መስማማት	
connive at 	v	ሸፈፋፊኑ	ሸፋፈነ	
conscience 	n	ሕሊና	ህሊና	
consciousness 	n	ነብሱ ስሒቱ	ነፍሱን ሳተ	
conservaton 	n	ሓለዋ	ጥበቃ	
conseve 	v	ቆጢቡ፣ ሓሊዩ	ቆጠበ፣ እንዳይጠፋ	
considerable 	adj	ብዙሕ	ብዙ	
considerabley 	adv	ብጣእሚ	በጣም 	
consignment 	n	ምቕባል(ብፍላ ውክልና)	መቀበል (በተለይ ውክልና)	
large consignment 		ብዙሕ	ብዙ	
consolation 	n	መፅንኢ	መጽናኛ	
consolidate 	vt	አጠቃሊሉ	አጠቃለለ፣ አዳበረ	
consort 	n	ሕብረት፣ ሰብአይ ወይ ሰበይቲ	ህብረት፣ባል ወይም ሚስት 	
consipiracy 	n	አድማ	አድማ፣ ሴራ	
constipation 	n	ንቕዐት ከብዲ	ሀሆድ ድርቀት	
constraint 	n	ግዴታ	ግዴታ	
constructive 	adj	ጠቓሚ	ጠቃሚ	
construe 	vt	ገሚቱ፣ አረዳኡ	ገመተ	
consul 	n	ንኡስልኡኽ ኣብ ወፃኢ ሃገር	ቆንሲል	
consumption 	n	መብልፅ	መብል፣ ፍጆታ	
contact 	n	ርክብ	ግንኙነት	
contagious 	adj	ዝላገብ ሕማም	ተላላፊ በሽታ	
contend 	vt	ተኻራኪሩ	ተከራከረ	
content 	v	ደስኢሉም	ደስ አለው	
contention 	n	ፅልኢ	ጠብ	
contentment 	n	ምሕጓስ	መደሰት	
continent 	n	ክፍሊ ዓለም	አህጉር	
contingent 	adj	ድንገተኛ	ድንገተኛ	
conrinual 	adj	ዘይቋረፅ	የማያቋርጥ	
continuance 	n	ምቕፃል	መቀጠል	
contour 	n	ቅርፂ	ቅርጽ	
contraband 	n	እተኸልከለ ኣቕሃ ሕጋዊ ፍቓድ ናብ ሃገር ምእታው 	ያልተቀረጠ እቃ	
contract 	n	ውዕል	ውል	
contrast 	vi	ተፈላሊዩ	ተለያየ	
contrive 	vt	ፈጢሩ	ፈጠረ	
control 	v	ተቖፃፂሩ	ተቆጣተረ	
control 	n	ምቁፅፃር	ተቆጣጠረ	
get control of		ተቖፃፂሩ	ተቆጣጠረ	
contumacious 	adj	ዘይዕዘዝ	የመማይታዘዝ	
convalesce 	v	ድሂኑ፣ ሒሽዎ	አገገመ	
convene 	vt	ኣኪቡ	ሰበሰበ	
convenience 	n	ራህዋ	ምቾት	
convention 	n	ስምምፅነት፣ ባህሊ 	ስምምነት፣ ባህል	
converge 	n	ተጋንዩ	ተገናኘ	
converse 	n	ተቓራኒ	ተቃራኒ	
convert 	n	ዝተለወጠ	የተለወጠ	
convincing 	adj	ዘፅግብ፣ መእመኒ	አጠጥጋቢ፣ አሳማኝ	
convocation 	n	ኣከባ	ስብሰባ	
cook 	vt	ኣብሲሉ	አበሰለ	
cook 	vi	ምስራሕ ምግቢ፣ ምክሻን	ምግብ ሠራ	
coop 	v	ዓፂዎ	ዘጋበት	
cooperation 	n	ምትሕብባር	ትብብር	
copier 	n	ቀዳሒት ወይ ገልባጢት ስእሊ ወይ ፅሁፍ 	ስዕል ወይም ጽሑፍ የሚቀዳ	
copy 	n	ምቕዳሕ፣ ምግልባጥ	ቀቅጂ፣ ግልባጭ	
cordial 	adj	ዚፈትዎ	ልባዊ	
corn 	n	ዕፉን	በቆሎ	
corporal 	n	ሓለቓ ዓሰርተ	የአሰር አለቃ 	
corporation 	n	ማሕበር	ማህበር	
corpulent 	adj	ረጉድ	ወፍራም	
corral 	n	ደምበ	በረት	
corrwect 	v	ምእራም፣ ቅኑእ እሩም	አረመ፣ ቀጣ	
corridor	n	መተሓላለፊ ናብ ውሽጢ	መተላለፊያ	
corrupt 	v	ኣባላሺዎ 	አበላሸ	
cost 	n	ዋጋ	ዋጋ	
costly 	adj	በክብር ኣቕሓ	ውድ	
cotton 	n	ጡጥ	ጥጥ	
cough 	v	ምስዓል	ሳል	
council 	n	ኣማኻሪ ሽማግለ	ኮሚቴ	
councel 	v	መኺሩ	መከረ	
counselor 	n	ጠበቓ	ጠበቃ	
count 	vt	ቖፂሩ	ቆጠረ	
count 	vt	ቖሲኹ	ጨመረ	
country 	n	ሃገር	አገር	
counrty side 	n	ገጠር	ገጠር	
couple 	n	ሰብኣትን ሰበጥንት	ባልና ሚስት	
courageous 	adj	ተባዕ	ደፋር	
counrt 	n	ቤተት ፍርዲ፣ ቤት ፍትሒ	ችሎት፣ ፍርድ ቤት	
court room 	n	ቤት ቀፅሪ	አጥር ግቢ	
cousin 	n	ወዲወይ ጓል ኣኮ ወይ ወዲ/ጓል ሓወቦ፣ ወዲ ሓትኖ ወይ ወዲ ኣሞ 	የአጎት ልጅ፣ የአክስት ልጅ	
cover over 	v	ምሽፋን፣ ምኽዳን፣ መሸፈኒ	ተገን፣ ሽፋን፣ ክዳን 	
cover over 	v	ኽዲኑ፣ ሸፈኑ	ሸፈነ	
cover up 	v	ሓቢኡ	ደበቀ	
covering 	n	ኽዳን	ልባስ	
covet 	n	ተመኒዩ	ተመኘ	
cow 	n	ለሕሚ	ላም	
cowaed 	n	ፈራሕ	ፊሪ	
cowhard 	n	ጓራሕ	እረኛ	
coy 	adj	ሓፋር፣ ቅንፅ ኢልካ ዘይምርአይ	አይን አፋር	
crack 	v	ምንቓዕ፣ ነቓፅ	መሰንጠቅ	
crack up 	n	ርእሱ ስሒቱ	ራሱን ሳተ	
cracker 	n	ንቑፅ ብስኩት	ብስኩት	
creftsman 	n	ጥበበኛ፣ ዋሓለ	ጥበበኛ	
crefty 	adj	ተንኮለኛ	ተንኮለኛ	
crane 	n	ከቢድ ኣቓሓ እተልእል መኪና 	የከባድ ዕቃ መኪና	
